Sun 0 0 0 0 39.47841760435743
Mercury 0.39 0 0 10.061148632539163 0.737410112522891e-06
Venus 0.72 0 0 7.4048048969306102 9.672212313067571e-05
Earth 1 0 0 6.283185307179586 0.0001184352528130723 
Mars 1.52 0 0 5.096336248792996 1.3027877809437954e-05
Jupiter 5.20 0 0 2.7553590302269777 0.03750449672413956
Saturn 9.54 0 0 2.0342563531448055 0.010856564841198292
Uranus 19.19 0 0 1.4343078687082953 0.001737050374591727
Neptune 30.06 0 0 1.1460020123254901 0.0020331385066244077
Pluto 39.53 0 0 0.99934734082975973 2.585836353085412e-07

